Slice,Count,TotalArea,AverageSize,AreaPerc,Mean,Block
OREw_DGRP028_R1_24_19-1.tif,1,278864,278864,35.598,255,B1
OREw_DGRP028_R1_24_20-1.tif,1,274446,274446,35.034,255,B1
OREw_DGRP031_R1_24_01-1.tif,1,342291,342291,43.695,255,B1
OREw_DGRP031_R1_24_02-1.tif,1,316278,316278,40.375,255,B1
OREw_DGRP031_R1_24_03-1.tif,1,291200,291200,37.173,255,B1
OREw_DGRP031_R1_24_04-1.tif,1,309021,309021,39.448,255,B1
OREw_DGRP031_R1_24_05-1.tif,1,351425,351425,44.861,255,B1
OREw_DGRP031_R1_24_06-1.tif,1,298800,298800,38.143,255,B1
OREw_DGRP031_R1_24_07-1.tif,1,290147,290147,37.039,255,B1
OREw_DGRP031_R1_24_08-1.tif,1,282908,282908,36.115,255,B1
OREw_DGRP031_R1_24_09-1.tif,1,352078,352078,44.945,255,B1
OREw_DGRP031_R1_24_10-1.tif,1,301499,301499,38.488,255,B1
OREw_DGRP031_R1_24_11-1.tif,1,365205,365205,46.62,255,B1
OREw_DGRP031_R1_24_12-1.tif,1,309533,309533,39.514,255,B1
OREw_DGRP031_R1_24_13-1.tif,1,332350,332350,42.426,255,B1
OREw_DGRP031_R1_24_14-1.tif,1,281337,281337,35.914,255,B1
OREw_DGRP031_R1_24_15-1.tif,1,325308,325308,41.527,255,B1
OREw_DGRP031_R1_24_16-1.tif,1,340689,340689,43.491,255,B1
OREw_DGRP031_R1_24_17-1.tif,1,346756,346756,44.265,255,B1
OREw_DGRP032_R1_24_01-1.tif,1,345718,345718,44.133,255,B1
OREw_DGRP032_R1_24_02-1.tif,1,314291,314291,40.121,255,B1
OREw_DGRP032_R1_24_03-1.tif,1,328536,328536,41.939,255,B1
OREw_DGRP032_R1_24_04-1.tif,1,327929,327929,41.862,255,B1
OREw_DGRP032_R1_24_05-1.tif,1,365033,365033,46.598,255,B1
OREw_DGRP032_R1_24_06-1.tif,1,316627,316627,40.419,255,B1
OREw_DGRP032_R1_24_07-1.tif,1,289276,289276,36.928,255,B1
OREw_DGRP032_R1_24_08-1.tif,1,306413,306413,39.115,255,B1
OREw_DGRP032_R1_24_09-1.tif,1,358300,358300,45.739,255,B1
OREw_DGRP032_R1_24_10-1.tif,1,295190,295190,37.683,255,B1
OREw_DGRP032_R1_24_11-1.tif,1,314066,314066,40.092,255,B1
OREw_DGRP032_R1_24_12-1.tif,1,350757,350757,44.776,255,B1
OREw_DGRP032_R1_24_13-1.tif,1,257955,257955,32.929,255,B1
OREw_DGRP032_R1_24_14-1.tif,1,328333,328333,41.913,255,B1
OREw_DGRP032_R1_24_15-1.tif,1,348277,348277,44.459,255,B1
OREw_DGRP032_R1_24_16-1.tif,1,362235,362235,46.241,255,B1
OREw_DGRP032_R1_24_17-1.tif,1,269841,269841,34.447,255,B1
OREw_DGRP032_R1_24_18-1.tif,1,296228,296228,37.815,255,B1
OREw_DGRP032_R1_24_19-1.tif,1,369453,369453,47.163,255,B1
OREw_DGRP032_R1_24_20-1.tif,1,309289,309289,39.482,255,B1
OREw_DGRP038_R1_24_01-1.tif,1,323847,323847,41.341,255,B1
