"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block","Area_mmsq"
"419","sd[1]",31,24,200371,25.578,1,0.9262149475
"420","sd[1]",31,24,298463,38.1,1,1.3796452175
"421","sd[1]",32,24,292805,37.378,1,1.3534911125
"422","sd[1]",32,24,228061,29.113,1,1.0542119725
"423","sd[1]",32,24,234320,29.912,1,1.0831442
"424","sd[1]",32,24,288485,36.827,1,1.3335219125
"425","sd[1]",32,24,246790,31.504,1,1.140786775
"426","sd[1]",32,24,266454,34.014,1,1.231683615
"427","sd[1]",32,24,281810,35.975,1,1.302666725
"428","sd[1]",32,24,271594,34.67,1,1.255443265
"429","sd[1]",32,24,277709,35.451,1,1.2837098525
"430","sd[1]",32,24,278103,35.501,1,1.2855311175
"431","sd[1]",32,24,273751,34.946,1,1.2654139975
"432","sd[1]",32,24,294799,37.633,1,1.3627083775
"433","sd[1]",32,24,255460,32.611,1,1.18086385
"434","sd[1]",32,24,275606,35.183,1,1.273988735
"435","sd[1]",32,24,264697,33.79,1,1.2235618825
"436","sd[1]",32,24,287790,36.738,1,1.330309275
"437","sd[1]",32,24,279796,35.717,1,1.29335701
"438","sd[1]",32,24,281117,35.886,1,1.2994633325
"439","sd[1]",32,24,281356,35.917,1,1.30056811
"440","sd[1]",38,24,289706,36.982,1,1.339165985
"441","sd[1]",38,24,203296,25.952,1,0.93973576
"442","sd[1]",38,24,82126,10.484,1,0.379627435
"443","sd[1]",38,24,127157,16.232,1,0.5877832325
"444","sd[1]",38,24,295681,37.745,1,1.3667854225
"445","sd[1]",38,24,288464,36.824,1,1.33342484
"446","sd[1]",38,24,286819,36.614,1,1.3258208275
"447","sd[1]",38,24,82596,10.544,1,0.38180001
"448","sd[1]",38,24,296664,37.871,1,1.37132934
"449","sd[1]",38,24,290510,37.085,1,1.342882475
"450","sd[1]",38,24,201200,25.684,1,0.930047
"451","sd[1]",38,24,121804,15.549,1,0.56303899
"452","sd[1]",38,24,68117,8.695,1,0.3148708325
"453","sd[1]",38,24,271688,34.682,1,1.25587778
"454","sd[1]",38,24,271649,34.677,1,1.2556975025
"455","sd[1]",38,24,288321,36.806,1,1.3327638225
"456","sd[1]",38,24,312077,39.838,1,1.4425759325
"457","sd[1]",38,24,319834,40.828,1,1.478432665
"458","sd[1]",38,24,305656,39.019,1,1.41289486
"459","sd[1]",40,24,253409,32.349,1,1.1713831025
"460","sd[1]",40,24,244851,31.257,1,1.1318237475
"461","sd[1]",40,24,272186,34.746,1,1.258179785
"462","sd[1]",40,24,322333,41.147,1,1.4899842925
"463","sd[1]",40,24,267452,34.142,1,1.23629687
"464","sd[1]",40,24,264486,33.763,1,1.222586535
"465","sd[1]",40,24,233951,29.865,1,1.0814384975
"466","sd[1]",40,24,241390,30.815,1,1.115825275
"467","sd[1]",40,24,227488,29.04,1,1.05156328
"468","sd[1]",40,24,288278,36.8,1,1.332565055
"469","sd[1]",40,24,214661,27.403,1,0.9922704725
"470","sd[1]",40,24,252130,32.186,1,1.165470925
"471","sd[1]",40,24,170866,21.812,1,0.789828085
"472","sd[1]",40,24,269857,34.449,1,1.2474139825
"473","sd[1]",40,24,224399,28.646,1,1.0372843775
"474","sd[1]",40,24,287881,36.75,1,1.3307299225
"475","sd[1]",40,24,258417,32.988,1,1.1945325825
"476","sd[1]",40,24,304245,38.838,1,1.4063725125
"477","sd[1]",40,24,289170,36.914,1,1.336688325
"478","sd[1]",40,24,320143,40.868,1,1.4798610175
"479","sd[1]",41,24,326906,41.731,1,1.511122985
"480","sd[1]",41,24,287312,36.677,1,1.32809972
"481","sd[1]",41,24,264965,33.824,1,1.2248007125
"482","sd[1]",41,24,330701,42.216,1,1.5286653725
"483","sd[1]",41,24,302728,38.645,1,1.39936018
"484","sd[1]",41,24,326305,41.655,1,1.5083448625
"485","sd[1]",41,24,262129,33.462,1,1.2116913025
"486","sd[1]",41,24,317414,40.52,1,1.467246215
"487","sd[1]",41,24,284413,36.307,1,1.3146990925
"488","sd[1]",41,24,283216,36.154,1,1.30916596
"489","sd[1]",41,24,304345,38.851,1,1.4068347625
"490","sd[1]",41,24,271156,34.614,1,1.25341861
"491","sd[1]",41,24,266570,34.029,1,1.232219825
"492","sd[1]",41,24,257539,32.876,1,1.1904740275
"493","sd[1]",41,24,298139,38.059,1,1.3781475275
"494","sd[1]",41,24,280704,35.833,1,1.29755424
"495","sd[1]",41,24,304355,38.853,1,1.4068809875
"496","sd[1]",41,24,221897,28.326,1,1.0257188825
"497","sd[1]",41,24,329445,42.055,1,1.5228595125
"498","sd[1]",41,24,271611,34.673,1,1.2555218475
"499","sd[1]",45,24,311437,39.757,1,1.4396175325
"500","sd[1]",45,24,303617,38.758,1,1.4034695825
"501","sd[1]",45,24,292176,37.298,1,1.35058356
"502","sd[1]",45,24,290376,37.068,1,1.34226306
"503","sd[1]",45,24,316315,40.379,1,1.4621660875
"504","sd[1]",45,24,269475,34.4,1,1.2456481875
"505","sd[1]",45,24,319454,40.78,1,1.476676115
"506","sd[1]",45,24,301297,38.462,1,1.3927453825
"507","sd[1]",45,24,325077,41.498,1,1.5026684325
"508","sd[1]",45,24,316519,40.405,1,1.4631090775
