"Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"sd[1]","041",24,262129,33.462,"1"
"sd[1]","041",24,317414,40.52,"1"
"sd[1]","041",24,284413,36.307,"1"
"sd[1]","041",24,283216,36.154,"1"
"sd[1]","041",24,304345,38.851,"1"
"sd[1]","041",24,271156,34.614,"1"
"sd[1]","041",24,266570,34.029,"1"
"sd[1]","041",24,257539,32.876,"1"
"sd[1]","041",24,298139,38.059,"1"
"sd[1]","041",24,280704,35.833,"1"
"sd[1]","041",24,304355,38.853,"1"
"sd[1]","041",24,221897,28.326,"1"
"sd[1]","041",24,329445,42.055,"1"
"sd[1]","041",24,271611,34.673,"1"
"sd[1]","045",24,311437,39.757,"1"
"sd[1]","045",24,303617,38.758,"1"
"sd[1]","045",24,292176,37.298,"1"
"sd[1]","045",24,290376,37.068,"1"
"sd[1]","045",24,316315,40.379,"1"
"sd[1]","045",24,269475,34.4,"1"
"sd[1]","045",24,319454,40.78,"1"
"sd[1]","045",24,301297,38.462,"1"
"sd[1]","045",24,325077,41.498,"1"
"sd[1]","045",24,316519,40.405,"1"
"sd[1]","045",24,255369,32.599,"1"
"sd[1]","045",24,289211,36.919,"1"
"sd[1]","045",24,283426,36.181,"1"
"sd[1]","045",24,325793,41.589,"1"
"sd[1]","045",24,203881,26.026,"1"
"sd[1]","045",24,324045,41.366,"1"
"sd[1]","045",24,321738,41.072,"1"
"sd[1]","045",24,317225,40.495,"1"
"sd[1]","045",24,261512,33.383,"1"
"sd[1]","048",24,298484,38.103,"1"
"sd[1]","048",24,307229,39.219,"1"
"sd[1]","048",24,280652,35.827,"1"
"sd[1]","048",24,280605,35.821,"1"
"sd[1]","048",24,276908,35.349,"1"
"sd[1]","048",24,340943,43.523,"1"
"sd[1]","048",24,297155,37.933,"1"
"sd[1]","048",24,246939,31.523,"1"
"sd[1]","048",24,280644,35.826,"1"
"sd[1]","048",24,277430,35.415,"1"
"sd[1]","048",24,256989,32.806,"1"
"sd[1]","048",24,285205,36.408,"1"
"sd[1]","048",24,216218,27.601,"1"
"sd[1]","048",24,327455,41.801,"1"
"sd[1]","048",24,261849,33.426,"1"
"sd[1]","048",24,248373,31.706,"1"
"sd[1]","048",24,302130,38.568,"1"
"sd[1]","048",24,253169,32.318,"1"
"sd[1]","048",24,324947,41.481,"1"
"sd[1]","048",24,298188,38.065,"1"
"sd[1]","051",24,281643,35.953,"1"
"sd[1]","051",24,282163,36.02,"1"
"sd[1]","051",24,208822,26.657,"1"
"sd[1]","051",24,271833,34.701,"1"
"sd[1]","051",24,296280,37.822,"1"
"sd[1]","051",24,282724,36.091,"1"
"sd[1]","051",24,237361,30.3,"1"
"sd[1]","051",24,249340,31.83,"1"
"sd[1]","051",24,208985,26.678,"1"
"sd[1]","051",24,273153,34.869,"1"
"sd[1]","051",24,197052,25.155,"1"
"sd[1]","051",24,328118,41.886,"1"
"sd[1]","051",24,254244,32.456,"1"
"sd[1]","051",24,278389,35.538,"1"
"sd[1]","051",24,338433,43.203,"1"
"sd[1]","051",24,311591,39.776,"1"
"sd[1]","051",24,278084,35.499,"1"
"sd[1]","051",24,217617,27.78,"1"
"sd[1]","051",24,269282,34.375,"1"
"sd[1]","051",24,309255,39.478,"1"
"sd[1]","059",NA,260776,33.289,"1"
"sd[1]","059",24,303973,38.804,"1"
"sd[1]","059",24,281030,35.875,"1"
"sd[1]","059",24,326624,41.695,"1"
"sd[1]","059",24,268386,34.261,"1"
"sd[1]","059",24,266737,34.05,"1"
"sd[1]","059",24,285389,36.431,"1"
"sd[1]","059",24,291482,37.209,"1"
"sd[1]","059",24,268757,34.308,"1"
"sd[1]","059",24,288484,36.826,"1"
"sd[1]","059",24,291873,37.259,"1"
"sd[1]","059",24,254405,32.476,"1"
"sd[1]","059",24,339877,43.387,"1"
"sd[1]","059",24,258121,32.95,"1"
"sd[1]","059",24,300058,38.304,"1"
"sd[1]","059",24,307203,39.216,"1"
"sd[1]","059",24,308383,39.367,"1"
"sd[1]","059",24,289184,36.916,"1"
"sd[1]","059",24,278666,35.573,"1"
"sd[1]","059",24,303879,38.792,"1"
"sd[1]","069",24,313803,40.059,"1"
"sd[1]","069",24,265388,33.878,"1"
"sd[1]","069",24,285027,36.385,"1"
"sd[1]","069",24,275827,35.211,"1"
"sd[1]","069",24,253281,32.333,"1"
"sd[1]","069",24,323030,41.236,"1"
"sd[1]","069",24,312279,39.864,"1"
"sd[1]","069",24,247847,31.639,"1"
"sd[1]","069",24,258565,33.007,"1"
"sd[1]","069",24,259149,33.082,"1"
"sd[1]","069",24,295966,37.782,"1"
"sd[1]","069",24,299022,38.172,"1"
"sd[1]","069",24,310552,39.644,"1"
"sd[1]","069",24,271738,34.689,"1"
"sd[1]","069",24,251137,32.059,"1"
"sd[1]","069",24,289534,36.961,"1"
"sd[1]","069",24,225229,28.752,"1"
"sd[1]","069",24,302297,38.59,"1"
"sd[1]","069",24,297221,37.942,"1"
"sd[1]","075",24,277109,35.374,"1"
"sd[1]","075",24,306728,39.155,"1"
"sd[1]","075",24,298130,38.058,"1"
"sd[1]","075",24,291662,37.232,"1"
"sd[1]","075",24,262826,33.551,"1"
"sd[1]","075",24,293975,37.527,"1"
"sd[1]","075",24,284799,36.356,"1"
"sd[1]","075",24,286420,36.563,"1"
"sd[1]","075",24,275528,35.173,"1"
"sd[1]","075",24,283193,36.151,"1"
"sd[1]","075",24,283342,36.17,"1"
"sd[1]","075",24,270540,34.536,"1"
"sd[1]","075",24,297255,37.946,"1"
"sd[1]","075",24,298894,38.155,"1"
"sd[1]","075",24,306957,39.185,"1"
"sd[1]","075",24,287288,36.674,"1"
"sd[1]","075",24,298855,38.15,"1"
"sd[1]","075",24,297017,37.916,"1"
"sd[1]","075",24,327126,41.759,"1"
"sd[1]","075",24,298404,38.093,"1"
"sd[1]","085",24,253874,32.408,"1"
"sd[1]","085",24,294494,37.594,"1"
"sd[1]","085",24,295808,37.761,"1"
"sd[1]","085",24,292933,37.394,"1"
"sd[1]","085",24,292324,37.317,"1"
"sd[1]","085",24,296721,37.878,"1"
"sd[1]","085",24,331465,42.313,"1"
"sd[1]","085",24,255736,32.646,"1"
"sd[1]","085",24,268698,34.301,"1"
"sd[1]","085",24,282691,36.087,"1"
"sd[1]","085",24,279244,35.647,"1"
"sd[1]","085",24,300826,38.402,"1"
"sd[1]","085",24,291673,37.234,"1"
"sd[1]","085",24,314197,40.109,"1"
"sd[1]","085",24,269624,34.419,"1"
"sd[1]","085",24,300943,38.417,"1"
"sd[1]","085",24,270027,34.47,"1"
"sd[1]","088",24,322930,41.224,"1"
"sd[1]","088",24,330905,42.242,"1"
"sd[1]","088",24,275514,35.171,"1"
"sd[1]","088",24,337380,43.068,"1"
"sd[1]","088",24,325531,41.556,"1"
"sd[1]","088",24,347307,44.336,"1"
"sd[1]","088",24,275834,35.212,"1"
"sd[1]","088",24,265444,33.885,"1"
"sd[1]","088",24,272285,34.759,"1"
"sd[1]","088",24,325685,41.575,"1"
"sd[1]","088",24,336812,42.996,"1"
"sd[1]","088",24,355122,45.333,"1"
"sd[1]","088",24,295616,37.737,"1"
"sd[1]","088",24,249044,31.792,"1"
"sd[1]","088",24,349755,44.648,"1"
"sd[1]","088",24,320093,40.862,"1"
"sd[1]","088",24,271589,34.67,"1"
"sd[1]","088",24,276733,35.326,"1"
"sd[1]","091",24,303266,38.713,"1"
"sd[1]","091",24,288416,36.818,"1"
"sd[1]","091",24,251669,32.127,"1"
"sd[1]","091",24,282118,36.014,"1"
"sd[1]","091",24,297349,37.958,"1"
"sd[1]","091",24,236398,30.177,"1"
"sd[1]","091",24,265176,33.851,"1"
"sd[1]","091",24,293840,37.51,"1"
"sd[1]","091",24,278261,35.521,"1"
"sd[1]","091",24,320369,40.897,"1"
