"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"509","sd[1]","045","24",255369,32.599,"B1"
"510","sd[1]","045","24",289211,36.919,"B1"
"511","sd[1]","045","24",283426,36.181,"B1"
"512","sd[1]","045","24",325793,41.589,"B1"
"513","sd[1]","045","24",203881,26.026,"B1"
"514","sd[1]","045","24",324045,41.366,"B1"
"515","sd[1]","045","24",321738,41.072,"B1"
"516","sd[1]","045","24",317225,40.495,"B1"
"517","sd[1]","045","24",261512,33.383,"B1"
"518","sd[1]","048","24",298484,38.103,"B1"
"519","sd[1]","048","24",307229,39.219,"B1"
"520","sd[1]","048","24",280652,35.827,"B1"
"521","sd[1]","048","24",280605,35.821,"B1"
"522","sd[1]","048","24",276908,35.349,"B1"
"523","sd[1]","048","24",340943,43.523,"B1"
"524","sd[1]","048","24",297155,37.933,"B1"
"525","sd[1]","048","24",246939,31.523,"B1"
"526","sd[1]","048","24",280644,35.826,"B1"
"527","sd[1]","048","24",277430,35.415,"B1"
"528","sd[1]","048","24",256989,32.806,"B1"
"529","sd[1]","048","24",285205,36.408,"B1"
"530","sd[1]","048","24",216218,27.601,"B1"
"531","sd[1]","048","24",327455,41.801,"B1"
"532","sd[1]","048","24",261849,33.426,"B1"
"533","sd[1]","048","24",248373,31.706,"B1"
"534","sd[1]","048","24",302130,38.568,"B1"
"535","sd[1]","048","24",253169,32.318,"B1"
"536","sd[1]","048","24",324947,41.481,"B1"
"537","sd[1]","048","24",298188,38.065,"B1"
"538","sd[1]","051","24",281643,35.953,"B1"
"539","sd[1]","051","24",282163,36.02,"B1"
"540","sd[1]","051","24",208822,26.657,"B1"
"541","sd[1]","051","24",271833,34.701,"B1"
"542","sd[1]","051","24",296280,37.822,"B1"
"543","sd[1]","051","24",282724,36.091,"B1"
"544","sd[1]","051","24",237361,30.3,"B1"
"545","sd[1]","051","24",249340,31.83,"B1"
"546","sd[1]","051","24",208985,26.678,"B1"
"547","sd[1]","051","24",273153,34.869,"B1"
"548","sd[1]","051","24",197052,25.155,"B1"
"549","sd[1]","051","24",328118,41.886,"B1"
"550","sd[1]","051","24",254244,32.456,"B1"
"551","sd[1]","051","24",278389,35.538,"B1"
"552","sd[1]","051","24",338433,43.203,"B1"
"553","sd[1]","051","24",311591,39.776,"B1"
"554","sd[1]","051","24",278084,35.499,"B1"
"555","sd[1]","051","24",217617,27.78,"B1"
"556","sd[1]","051","24",269282,34.375,"B1"
"557","sd[1]","051","24",309255,39.478,"B1"
"558","sd[1]","059","24-01-1.tif",260776,33.289,"B1"
"559","sd[1]","059","24",303973,38.804,"B1"
"560","sd[1]","059","24",281030,35.875,"B1"
"561","sd[1]","059","24",326624,41.695,"B1"
"562","sd[1]","059","24",268386,34.261,"B1"
"563","sd[1]","059","24",266737,34.05,"B1"
"564","sd[1]","059","24",285389,36.431,"B1"
"565","sd[1]","059","24",291482,37.209,"B1"
"566","sd[1]","059","24",268757,34.308,"B1"
"567","sd[1]","059","24",288484,36.826,"B1"
"568","sd[1]","059","24",291873,37.259,"B1"
"569","sd[1]","059","24",254405,32.476,"B1"
"570","sd[1]","059","24",339877,43.387,"B1"
"571","sd[1]","059","24",258121,32.95,"B1"
"572","sd[1]","059","24",300058,38.304,"B1"
"573","sd[1]","059","24",307203,39.216,"B1"
"574","sd[1]","059","24",308383,39.367,"B1"
"575","sd[1]","059","24",289184,36.916,"B1"
"576","sd[1]","059","24",278666,35.573,"B1"
"577","sd[1]","059","24",303879,38.792,"B1"
"578","sd[1]","069","24",313803,40.059,"B1"
"579","sd[1]","069","24",265388,33.878,"B1"
"580","sd[1]","069","24",285027,36.385,"B1"
"581","sd[1]","069","24",275827,35.211,"B1"
